1,
6744.595196949995,1.5,
84866.23210447324,2.0,
-64130.746393647554,2.5,
-57689.450703275324,3.0,
-26263.902933173937,3.5,
-61524.28095740091,4.0,
-22892.884162483348,4.5,
-59008.64215502591,5.0,
-54364.57560366801,5.5,
-49771.77310152385,6.0,
-27111.637274857614,6.5,
66993.76006973043,7.0,
-85576.7447705522,7.5,
-98121.80778253199,8.0,
-72114.38689479572,8.5,
48853.22580612663,9.0,
-76164.88861131998,9.5,
86503.11304481322,10.0,
21260.09824225365,10.5,
-55388.96799156797,11.0,
42166.06112824708,11.5,
16867.560371473443,12.0,
894.9400321350196,12.5,
-22792.787928755926,13.0,
-16444.793424256506,13.5,
51955.299522706875,14.0,
55409.204085008736,14.5,
62398.930254235165,15.0,
53041.82429092658,15.5,
-88176.12978489097,16.0,
42772.288330330484,16.5,
66872.94337216682,17.0,
80779.5558168877,17.5,
-72939.2033369108,18.0,
31886.817784550414,18.5,
33766.579899174474,19.0,
-68400.89958212627,19.5,
-63496.16991118738,20.0,
-85938.52385214946,20.5,
51482.13957083457,21.0,
33474.108302686705,21.5,
-37238.62416932543,22.0,
36695.80525735013,22.5,
89985.49809857414,23.0,
-65286.57650387865,23.5,
-23205.36227942739,24.0,
82557.5783217489,24.5,
-29735.80575457063,25.0,
-67800.85919756904,25.5,
-84321.45691331153,26.0,
89035.49574143438,26.5,
46107.67568813776,27.0,
-78187.32182645341,27.5,
-22979.595241579147,28.0,
-24273.53872057674,28.5,
16980.035065630855,29.0,
16964.48221727348,29.5,
3523.0862465892696,30.0,
38726.70036655679,30.5,
60974.21436562162,31.0,
34632.30375000508,31.5,
-17849.62368992519,32.0,
35256.81551914354,32.5,
75139.05367536317,33.0,
-32234.72736889175,33.5,
12284.109566847852,34.0,
28700.706960759795,34.5,
24182.87353029787,35.0,
74617.07434534033,35.5,
91389.34541119062,36.0,
90314.62138416783,36.5,
30477.26295357587,37.0,
93061.6808532618,37.5,
37052.85869608472,38.0,
-61279.61014071027,38.5,
63195.033854983696,39.0,
11583.504203383276,39.5,
93135.80996412992,40.0,
19658.870302800715,40.5,
91887.92001715524,41.0,
83036.08948817436,41.5,
72061.11799500986,42.0,
52893.478778282566,42.5,
59067.77426411517,43.0,
73955.92170429678,43.5,
-91581.88546017397,44.0,
-72958.0179087224,44.5,
-16178.613456609688,45.0,
-63480.68608813925,45.5,
69713.37154071161,46.0,
95160.75652619924,46.5,
100019.45232690053,47.0,
98988.13941578042,47.5,
12370.508435367632,48.0,
-48540.01766661704,48.5,
58943.84802991069,49.0,
-74856.72599076621,49.5,
-11447.756461520152,50.0,
25942.47315304481,50.5,
-71830.32293480348,51.0,
-2455.848541139544,51.5,
-70806.76406754341,52.0,
21920.98018413325,52.5,
-18145.752270494253,53.0,
99075.26985029942,53.5,
-94517.85008795244,54.0,
13247.76065944283,54.5,
-29827.866750618436,55.0,
16935.64263456964,55.5,
60029.03551253424,56.0,
-5280.75322968993,56.5,
-11435.000877692746,57.0,
-52966.91232901485,57.5,
24328.82476604919,58.0,
-27340.231284799454,58.5,
